사이트순위,도메인,대표사이트명,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,매물페이지여부,연결_업체/행수,연결_업체명,원본No목록,크롤링_필요정보/전략,자동확인일
52,blog.daara.co.kr,금강종합건설기계,https://blog.daara.co.kr/sell_list.html?cid=3827777,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,금강종합건설기계,11,query_params=cid=3827777 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
53,blog.daara.co.kr,남현건설기계매매상사,https://blog.daara.co.kr/sell_list.html?cid=moo6729,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,남현건설기계매매상사,22,query_params=cid=moo6729 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
54,blog.daara.co.kr,대광건설기계 이재용,https://blog.daara.co.kr/sell_list.html?cid=4040277qaz,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,대광건설기계 이재용,55,query_params=cid=4040277qaz | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
55,blog.daara.co.kr,대진건설기계 매매상사,https://blog.daara.co.kr/sell_list.html?cid=eowlswndrl,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,대진건설기계 매매상사,21,query_params=cid=eowlswndrl | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
56,blog.daara.co.kr,리더스건기,https://blog.daara.co.kr/sell_list.html?cid=ls4989,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,리더스건기,19,query_params=cid=ls4989 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
57,blog.daara.co.kr,백광건설기계매매상사,https://blog.daara.co.kr/sell_list.html?cid=bk9200,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,백광건설기계매매상사,20,query_params=cid=bk9200 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
58,blog.daara.co.kr,서림종합상사,https://blog.daara.co.kr/sell_list.html?cid=shinje27,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,서림종합상사,119,query_params=cid=shinje27 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
59,blog.daara.co.kr,성수건설기계매매상사,https://blog.daara.co.kr/sell_list.html?cid=tjdtn2177,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,성수건설기계매매상사,18,query_params=cid=tjdtn2177 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
60,blog.daara.co.kr,세기무역,https://blog.daara.co.kr/sell_list.html?cid=dbwlswlsaks,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,세기무역,120,query_params=cid=dbwlswlsaks | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
61,doodl235.bizdaara.com,세종종합중기,https://doodl235.bizdaara.com/sell_list.html?cid=doodl235,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,세종종합중기,15,query_params=cid=doodl235 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
62,blog.daara.co.kr,신라종합건기(주),https://blog.daara.co.kr/sell_list.html?cid=jumping098,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,신라종합건기(주),52,query_params=cid=jumping098 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
63,blog.daara.co.kr,신원중기,https://blog.daara.co.kr/sell_list.html?cid=houze,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,신원중기,12,query_params=cid=houze | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
64,blog.daara.co.kr,양남공구종합상사,https://blog.daara.co.kr/sell_list.html?cid=kji779,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,양남공구종합상사,29,query_params=cid=kji779 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
65,blog.daara.co.kr,와코건설기계,https://blog.daara.co.kr/sell_list.html?cid=sunamon0,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,와코건설기계,24,query_params=cid=sunamon0 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
66,blog.daara.co.kr,태산지게차매매상사(남일중기),https://blog.daara.co.kr/sell_list.html?cid=a0109292,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,태산지게차매매상사(남일중기),59,query_params=cid=a0109292 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
67,blog.daara.co.kr,하나중공업,https://blog.daara.co.kr/sell_list.html?cid=hanahi,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,하나중공업,56,query_params=cid=hanahi | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
68,hanjin4026.bizdaara.com,한진종합건설기계매매상사,https://hanjin4026.bizdaara.com/sell_list.html?cid=hanjin4026,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,한진종합건설기계매매상사,14,query_params=cid=hanjin4026 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
69,hyosung87.com,효성포장중기매매상사(주),http://hyosung87.com/g5/bbs/board.php?bo_table=sub05_01,0,매물 패턴 미검출,HTML 응답,추정,1,효성포장중기매매상사(주),5,query_params=bo_table=sub05_01 | bo_table | requests+BeautifulSoup 가능,2026-04-29
